State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Karnataka,6210.0,7169.0,8012.0,9610.0,10831.0,11575.0,13271.0,15158.0,17709.0,20214.0,23300.0,30092.0,33036.0,26326.0,31877.0,38762.0,44460.0,49484.0,56204.0,69168.0,72659.0,77924.0,86895.0,96698.0,166747.0,195904.0,227237.0,270629.0,310312.0,337559.0,410703.0,603777.5823119752,692224.0719307236,818167.1862998665,920061.4466493285,1040147.9436239514
Kerala,4286.0,4610.0,5373.0,6272.0,6977.0,7520.0,8536.0,9578.0,10673.0,12213.0,14098.0,17530.0,19937.0,37971.0,42339.0,47841.0,55049.0,60062.0,69216.0,80132.0,79203.0,86745.0,86832.0,102839.0,119264.0,136842.0,153785.0,175141.0,202783.0,231999.0,263773.0,364047.87259022787,412312.99623255647,465039.7560387668,526774.3755383765,
Madhya Pradesh,7788.0,8564.0,9822.0,11471.0,11871.0,13905.0,14513.0,18397.0,21663.0,24492.0,30472.0,32609.0,36583.0,14171.0,15562.0,17177.0,19404.0,21658.0,24061.0,27249.0,25846.0,29539.0,32493.0,38802.0,112927.0,124276.0,144577.0,161479.0,197276.0,227557.0,263396.0,315560.91,380926.18,435789.86,484537.56,565053.43
Maharashtra,16631.0,18738.0,20315.0,23457.0,25558.0,29616.0,32009.0,37754.0,45160.0,55674.0,64433.0,73406.0,90921.0,113320.0,130073.0,157818.0,179311.0,195168.0,209699.0,247830.0,252283.0,273188.0,299479.0,340600.0,415480.0,486766.0,584498.0,684817.0,753969.0,855751.0,1049150.0,1272966.9518606144,1448465.9028474626,1647506.471053953,1792121.6486752608,
Manipur,218.0,265.0,285.0,337.0,382.0,418.0,479.0,604.0,680.0,720.0,821.0,986.0,1093.0,1308.0,1405.0,1627.0,1898.0,2158.0,2430.0,3260.0,3112.0,3369.0,3506.0,3979.0,5133.0,5718.0,6137.0,6783.0,7399.0,8254.0,9137.0,12914.6091,13747.7938,16198.4303,18042.7571,
Meghalaya,200.0,230.0,256.0,298.0,343.0,393.0,447.0,534.0,589.0,761.0,890.0,1037.0,1152.0,1511.0,1665.0,1995.0,2198.0,2497.0,2939.0,3578.0,3961.0,4478.0,4763.0,5280.0,6559.0,7265.0,8625.0,9735.0,11617.0,12709.0,14583.0,19917.74837899492,21872.02372705236,22938.23608460584,24064.990050243658,27304.508330266268
Mizoram,68.0,78.0,87.0,106.0,135.0,181.0,214.0,286.0,288.0,312.0,341.0,465.0,533.0,711.0,739.0,937.0,1072.0,1123.0,1246.0,1550.0,1737.0,1947.0,2166.0,2325.0,2682.0,2971.0,3290.0,3816.0,4577.0,5260.0,6388.0,7258.69,8361.93,10293.367396,11559.326208000002,
Nagaland,119.0,147.0,180.0,209.0,243.0,273.0,308.0,395.0,477.0,545.0,655.0,786.0,918.0,1375.0,1596.0,1814.0,2024.0,2324.0,2385.0,2802.0,3399.0,3972.0,4467.0,4812.0,5839.0,6588.0,7257.0,8075.0,9436.0,10527.0,11759.0,11839.118986286492,13618.77437251293,16611.846403,18414.240991999995,
Odisha,3708.0,4162.0,4448.0,5708.0,5694.0,6823.0,7427.0,7614.0,9613.0,11025.0,10904.0,14012.0,15138.0,18537.0,22224.0,27118.0,26504.0,32235.0,35581.0,42986.0,43351.0,46756.0,49713.0,61008.0,77729.0,85096.0,101839.0,129274.0,148491.0,162946.0,197530.0,225283.48157770984,255272.61318916644,277270.6860289338,309807.21819345624,332329.13376120426
Punjab,5025.0,5954.0,6602.0,7326.0,8354.0,9506.0,10429.0,12255.0,14088.0,16980.0,18883.0,22842.0,26275.0,30248.0,34218.0,38615.0,44198.0,48704.0,55736.0,67162.0,74677.0,79611.0,82249.0,90089.0,96839.0,108637.0,127123.0,152245.0,174039.0,197500.0,226204.0,266628.29127786466,297733.81572102924,334714.2894631329,368010.88893711095,
Rajasthan,4637.0,5461.0,6246.0,7863.0,7936.0,8797.0,9957.0,10925.0,14555.0,15794.0,20710.0,23012.0,27047.0,32970.0,41487.0,47313.0,57516.0,64061.0,73180.0,82720.0,82435.0,91771.0,88550.0,111606.0,127746.0,142236.0,171043.0,194822.0,230949.0,265825.0,338348.0,436465.28509206173,494003.8483527377,549700.601427918,612194.4687549019,
Sikkim,52.0,59.0,70.0,80.0,102.0,122.0,145.0,167.0,185.0,204.0,234.0,259.0,267.0,403.0,440.0,520.0,592.0,680.0,787.0,896.0,1014.0,1136.0,1276.0,1430.0,1739.0,1993.0,2161.0,2506.0,3229.0,6133.0,7412.0,11165.096836957988,12338.420375050757,13861.902317311406,15209.327085735582,16636.784186156205
Tamil Nadu,8081.0,9712.0,10025.0,11646.0,13658.0,15648.0,17513.0,20693.0,23199.0,27134.0,31339.0,36957.0,43010.0,57549.0,68666.0,78205.0,89237.0,103550.0,118209.0,134185.0,146796.0,148861.0,158155.0,175371.0,219003.0,257833.0,310526.0,350819.0,401336.0,479733.0,584896.0,751485.0883219999,855480.8551770853,971089.871775,1092563.733085,1212667.990504361
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,89946.0,108335.0,126971.0,152452.0,189382.0,203508.0,263898.0,361700.68,404104.79,460171.51,522001.08,583117.25
Tripura,286.0,339.0,386.0,426.0,474.0,524.0,580.0,668.0,853.0,936.0,1031.0,1165.0,1231.0,1777.0,1881.0,2296.0,2757.0,3298.0,3814.0,4867.0,5499.0,6370.0,6733.0,7551.0,8904.0,9826.0,10914.0,11797.0,13573.0,15403.0,17868.0,19208.41,21663.2,25592.83,29666.61608,
Uttar Pradesh,15554.0,16887.0,19724.0,21896.0,24211.0,27748.0,30657.0,34352.0,41102.0,46926.0,55506.0,64677.0,70704.0,80451.0,94019.0,106249.0,127778.0,137561.0,153853.0,175159.0,181512.0,190269.0,206855.0,226972.0,260841.0,293172.0,336317.0,383026.0,444685.0,523394.0,600286.0,724048.5532,822902.9887000001,944145.7151,1043371.15,1153794.59
Uttarakhand,,,,,,,,,,,,,,5686.0,6914.0,7529.0,8242.0,8984.0,9946.0,12621.0,14501.0,15826.0,18473.0,20439.0,24786.0,29968.0,36795.0,45856.0,56025.0,70730.0,83969.0,115523.49,131835.22,149816.6,161985.29,184091.31
West Bengal,10345.0,11575.0,13049.0,15302.0,17676.0,19033.0,20803.0,25078.0,27107.0,30623.0,34797.0,40380.0,43290.0,53424.0,62032.0,73865.0,82075.0,97966.0,115516.0,135376.0,143725.0,157144.0,168000.0,189259.0,208656.0,230245.0,261682.0,299483.0,341942.0,398880.0,460959.0,528316.0,603311.0,706561.0,800868.0,
Delhi,,,,,,,,,,,,,,20992.0,25847.0,28390.0,33803.0,41235.0,47484.0,55220.0,60125.0,65027.0,71361.0,79468.0,100325.0,115374.0,135584.0,157947.0,189533.0,217619.0,252753.0,343260.40973110753,391071.3590051436,446806.82301571296,494460.3410293797,558745.2599089125
Puducherry,,,,,,,,,,,,,,981.0,1127.0,1320.0,1907.0,2625.0,2982.0,3235.0,3864.0,4259.0,4931.0,5438.0,5754.0,7977.0,8335.0,9251.0,10050.0,12304.0,13092.0,16818.01,18875.45,21870.12,24088.57,26533.455552000003
"Notes: Since there are multiple GSDP series through which this Time Series has been created, the notes below indicate the years that correspond to a particular GSDP Series. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
